"These leaves are holidays permitted by the company however, availing it is optional for an Employee","Estos permisos son días festivos otorgados por la empresa sin embargo, tomarlos es opcional para el empleado",
"{0}: Employee email not found, hence email not sent","{0}: No se encontró el correo electrónico de los empleados, por lo tanto, no correo electrónico enviado",
'employee_field_value' and 'timestamp' are required.,&#39;employee_field_value&#39; y &#39;timestamp&#39; son obligatorios.,
(Half Day),(Medio día),
) for {0},) para {0},
<b>Example:</b> SAL-{first_name}-{date_of_birth.year} <br>This will generate a password like SAL-Jane-1972,<b>Ejemplo:</b> SAL- {first_name} - {date_of_birth.year} <br> Esto generará una contraseña como SAL-Jane-1972,
A Leave Period is a duration of time for which leaves are allocated.,Un período de permiso es una duración de tiempo para la cual se asignan permisos.,
A {0} exists between {1} and {2} (,A {0} existe entre {1} y {2} (,
Absent Days,Días ausentes,
Absent,Ausente,
Absent,Ausente,
Absent,Ausente,
Academic Degree,Grado Academico,
Academic Information,Informacion Academica,
Account No,Cuenta No,
Accrual Journal Entry for salaries from {0} to {1},Entrada de Diario de Acumulación para Salarios de {0} a {1},
Activity Name,Nombre de la Actividad,
Actual Amount,Cantidad real,
Add to Details,Añadir a Detalles,
Add unused leaves from previous allocations,Añadir permisos no usados de asignaciones anteriores,
Added to details,Agregado a los Detalles,
Additional Amount,Monto adicional,
Additional PF,PF adicional,
Additional Provident Fund,Fondo de previsión adicional,
Additional Salary ,Salario adicional,
Additional Salary,Salario Adicional,
Additional Salary: {0} already exist for Salary Component: {1} for period {2} and {3},Salario adicional: {0} ya existe para el componente de salario: {1} para el período {2} y {3},
Address of Organizer,Dirección del Organizador,
Advance,Avanzar,
Advanced Filters,Filtros Avanzados,
All Jobs,Todos los trabajos,
Allocate Leaves,Asignar Permisos,
Allocated Leaves,Permisos Asignadas,
Allocation Expired!,Asignación expirada!,
Allow Employee Checkin from Mobile App,Permitir Registro de Entrada del Empleado desde la Aplicación Móvi,
Allow Encashment,Permitir el Cobro,
Allow Geolocation Tracking,Permitir Seguimiento de Geolocalización,
Allow Leave Application After (Working Days),Permitir la Solicitud de Permiso Después de (Días Laborales),
Allow Multiple Shift Assignments for Same Date,Permitir Múltiples Asignaciones de Turnos para la Misma Fecha,
Allow Negative Balance,Permitir Saldo Negativo,
Allow Over Allocation,Permitir Sobreasignación,
Allow Tax Exemption,Permitir exención de impuestos,
Allow User,Permitir al usuario,
Allow Users,Permitir que los usuarios,
Allow check-out after shift end time (in minutes),Permitir la salida después de la hora de finalización del turno (en minutos),
Allow the following users to approve Leave Applications for block days.,Permitir a los usuarios siguientes aprobar solicitudes de permisos en días bloqueados.,
Allows allocating more leaves than the number of days in the allocation period,Permite asignar más permisos de los días disponibles en el período de asignación,
Alternating entries as IN and OUT during the same shift,Alternar entradas como IN y OUT durante el mismo turno,
Amount based on formula,Cantidad basada en fórmula,
Annual Allocation,Asignación Anual,
Annual HRA Exemption,Exención anual de la HRA,
Annual Salary,Salario anual,
Any other details,Cualquier otro detalle,
Applicable After (Working Days),Aplicable Después (Días Laborables),
Applicable in the case of Employee Onboarding,Aplicable en el caso de la incorporación de empleados,
Applicant Email Address,Dirección de correo electrónico del solicitante,
Applicant for a Job,Solicitante de Empleo,
Applicant name,Nombre del solicitante,
Application Status,Estado de la Aplicación,
Application period cannot be across two allocation records,El período de solicitud no puede estar en dos registros de asignación,
Application period cannot be outside leave allocation period,Período de aplicación no puede ser período de asignación licencia fuera,
Applies to Company,Se aplica a la empresa,
Apply / Approve Leaves,Aplicar/Aprobar Permisos,
Apply Now,Aplicar Ahora,
Appointment Date,Día de la cita,
Appointment Letter Template,Plantilla de carta de cita,
Appointment Letter content,Contenido de la carta de nombramiento,
Appointment Letter,Carta de cita,
Appraisal Goal,Meta de evaluación,
Appraisal Template Goal,Objetivo de la plantilla de evaluación,
Appraisal Template Title,Titulo de la plantilla de evaluación,
Appraisal,Evaluación,
Apprentice,Aprendiz,
Approval Status must be 'Approved' or 'Rejected',"El estado de esta solicitud debe ser ""Aprobado"" o ""Rechazado""",
Approval Status,Estado de Aprobación,
Approved Claims (This Month),Reclamaciones Aprobadas (Este Mes),
Approver,Supervisor,
Apr,abr,
Arrival Datetime,Fecha y hora de llegada,
As per your assigned Salary Structure you cannot apply for benefits,De acuerdo con su estructura salarial asignada no puede solicitar beneficios,
Assign Salary Structure,Asignar estructura salarial,
Assign to Employees,Asignar a Empleados,
Assign,Asignar,
Assigning Structures...,Asignando Estructuras ...,
Attendance Count,Conteo de Asistencia,
Attendance Dashboard,Tablero de Asistencia,
Attendance Date,Fecha de Asistencia,
Attendance From Date and Attendance To Date is mandatory,Asistencia 'Desde fecha' y 'Hasta fecha' son obligatorias,
Attendance From Date,Asistencia desde fecha,
Attendance Marked,Asistencia marcada,
Attendance Request,Solicitud de Asistencia,
Attendance Settings,Configuración de Asistencia,
Attendance To Date,Asistencia a la Fecha,
Attendance for employee {0} is already marked for this day,La asistencia para el empleado {0} ya está marcada para el día de hoy,
Attendance has been marked as per employee check-ins,La asistencia ha sido marcada según los registros de empleados,
Attendance not submitted for {0} as it is a Holiday.,Asistencia no enviada para {0} ya que es un feriado.,
Attendance will be marked automatically only after this date.,La asistencia se marcará automáticamente solo después de esta fecha.,
Attendance,Asistencia,
Attendees,Asistentes,
Aug,ago,
Auto Attendance Settings,Configuraciones de asistencia automática,
Auto Leave Encashment,Auto dejar cobro,
Available Leaves,Permisos Disponibles,
Awaiting Response,Esperando Respuesta,
Bank Entries,Asientos Bancarios,
Bank Remittance,Giro Bancario,
Base,Base,
Begin check-in before shift start time (in minutes),Comience el check-in antes de la hora de inicio del turno (en minutos),
Beginner,Principiante,
Benefit,Beneficio,
Bimonthly,Bimensual,
Birthday Reminder,Recordatorio de cumpleaños,
Birthdays,Cumpleaños,
Block Date,Bloquear fecha,
Block Days,Bloquear días,
Block Holidays on important days.,Bloquear Permisos en días importantes.,
Bonus Amount,Monto de la Bonificación,
Bonus Payment Date cannot be a past date,La fecha de pago de la bonificación no puede ser una fecha pasada,
Bonus Payment Date,Fecha de Pago de Bonificación,
Brake Oil,Aceite de Frenos,
Brake Pad,Pastilla de Freno,
Branch (optional),Rama (opcional),
Bulk Leave Policy Assignment,Asignación masiva de política de permiso,
Bulk Salary Structure Assignment,Asignación Masiva de Estructura Salarial,
Calculate Payroll Working Days Based On,Calcule los días laborables de la nómina en función de,
Calculated in days,Calculado en días,
Calls,Llamadas,
Cannot find active Leave Period,No se puede encontrar el Período de permiso activo,
Carry Forward,Trasladar,
Carry Forwarded Leaves,Trasladar permisos,
Casual Leave,Permiso ocacional,
Check Vacancies On Job Offer Creation,Comprobar vacantes en la creación de ofertas de trabajo,
Check-in Date,Comprobar en la Fecha,
Check-out Date,Echa un vistazo a la Fecha,
Claim Benefit For,Beneficio de reclamo por,
Claim Date,Fecha de Reclamación,
Claim an Expense,Reclamar un Gasto,
Claimed Amount,Cantidad reclamada,
Claimed,Reclamado,
Claims by Type,Reclamaciones por Tipo,
Closing Notes,Notas de cierre,
Clutch Plate,Placa de embrague,
Compensatory Leave Request,Solicitud de licencia compensatoria,
Compensatory Off,Compensatorio,
Component Type,Tipo de componente,
Component properties and references ,Propiedades y referencias de componentes,
Component,Componente,
Condition and formula,Condición y fórmula,
Conditions and Formula variable and example,Condiciones y variable de fórmula y ejemplo,
Conditions,Condiciones,
Conference,Conferencia,
Consider Unmarked Attendance As,Considere la asistencia no marcada como,
Contact Number,Número de contacto,
Copy of Invitation/Announcement,Copia de Invitación / Anuncio,
Costing Details,Detalles de Costos,
Country of Origin,País de Origen,
Course,Curso,
Cover Letter,Carta de presentación,
Create Disbursement Entry,Crear entrada de desembolso,
Create New Employee Id,Crear Nuevo ID de Empleado,
Create Salary Slip,Crear nómina salarial,
Create Salary Slips,Crear Recibos de Sueldo,
Create Separate Payment Entry Against Benefit Claim,Crear una Entrada de Pago separada contra la Reclamación de Beneficios,
Creating Payment Entries......,Creando Entradas de Pago ......,
Creating Salary Slips...,Creando Recibos de Sueldo ...,
Currency,Moneda,
Current Count,Recuento Actual,
Current Job Openings,Ofertas de empleo actuales,
Current Odometer Value should be greater than Last Odometer Value {0},El valor actual del odómetro debe ser mayor que el último valor del odómetro {0},
Current Odometer value ,Valor actual del cuentakilómetros,
Current Openings,Aperturas Actuales,
Current,Corriente,
Daily Work Summary Group User,Resumen de Trabajo Diario de Grupo Usuario,
Daily Work Summary Group,Grupo de resumen de trabajo diario,
Daily Work Summary Replies,Respuestas Diarias del Resumen del Trabajo,
Daily Work Summary,Resumen diario de Trabajo,
Date Range,Rango de Fechas,
Date is repeated,La fecha está repetida,
Dates & Reason,Fechas y Motivo,
Debit A/C Number,Número de débito A / C,
Dec,dic,
Declarations,Declaraciones,
Declared Amount,Cantidad declarada,
Deduct Full Tax on Selected Payroll Date,Deduzca el impuesto completo en la fecha de nómina seleccionada,
Deduct Tax For Unclaimed Employee Benefits,Deducir Impuestos para beneficios de Empleados no Reclamados,
Deduct Tax For Unsubmitted Tax Exemption Proof,Deducir impuestos por soporte de exención de impuestos sin enviar,
Deduction,Deducción,
Deductions,Deducciones,
Default Amount,Importe por defecto,
Default Bank / Cash account will be automatically updated in Salary Journal Entry when this mode is selected.,Banco Predeterminado / Cuenta de Efectivo se actualizará automáticamente en la Entrada de Diario Salario cuando se selecciona este modo.,
Default Salary Structure,Estructura de Salario Predeterminada,
Degree,Titulo,
Department (optional),Departamento (opcional),
Department Approver,Aprobador de Departamento,
Department Wise Salary(Last Month),Salario por Departamento(Ultimo Mes),
Department wise Expense Claims,Reclamaciones de Gastos por Departamento,
Departure Datetime,Hora de Salida,
Depends on Payment Days,Depende de los días de pago,
Description of a Job Opening,Descripción de la oferta de trabajo,
Designation (optional),Designación (opcional),
Designation Skill,Habilidad de designación,
Designation Wise Salary(Last Month),Salario por Puesto(Último Mes),
Determine Check-in and Check-out,Determinar el check-in y el check-out,
Dispensed Amount (Pro-rated),Cantidad Dispensada (Prorrateada),
Do Not Include in Total,No incluir en total,
Do not include in total,No incluir en total,
Document Status,Estado del Documento,
Domestic,Nacional,
Duplicate Entry,Entrada duplicada,
Early Exit Grace Period,Período de gracia de salida temprana,
Early Exit,Salida Temprana,
Earned Leave Frequency,Frecuencia de Licencia Ganada,
Earned Leave,Ausencia Ganada,
Earning Component,Componente de Ganancia,
Earning,Ingresos,
Earnings & Deductions,Ingresos y Deducciones,
Earnings,Ganancias,
Effective From,Valido Desde,
Effective To,Valido Hasta,
Effective from,Válido desde,
Email Salary Slip to Employee,Enviar Nómina al Empleado por Correo Electrónico,
Email Sent To,Correo electrónico enviado a,
Emails salary slip to employee based on preferred email selected in Employee,Envíe por correo electrónico el recibo de salario al empleado basándose en el correo electrónico preferido seleccionado en Empleado,
Employee (optional),Empleado (opcional),
Employee A/C Number,Número de A / C del empleado,
Employee Advance Status,Estado de Anticipos para Empleados,
Employee Advance Summary,Resumen de Avance del Empleado,
Employee Attendance Tool,Herramienta de asistencia de los empleados,
Employee Benefit Application Detail,Detalle de la Solicitud de Beneficios para Empleados,
Employee Benefit Application,Solicitud de Beneficios para Empleados,
Employee Benefit Claim,Reclamo de Beneficio del Empleado,
Employee Benefits,Beneficios de empleados,
Employee Boarding Activity,Actividad de Embarque de Empleados,
Employee Checkin,Registro de empleados,
Employee Details,Detalles del Empleado,
Employee Emails,Correos Electrónicos del Empleado,
Employee Exit Settings,Configuración de Salidas de Empleados,
Employee Exits,Salida de Empleados,
Employee Grade (optional),Grado de empleado (opcional),
Employee Grade,Grado del Empleado,
Employee Health Insurance,Seguro de Salud para Empleados,
Employee Incentive,Incentivo para Empleados,
Employee Lifecycle Dashboard,Tablero del Ciclo de Vida del Empleado,
Employee Onboarding Template,Plantilla de Incorporación del Empleado,
Employee Onboarding,Empleado de Abordo,
Employee Other Income,Otros ingresos del empleado,
Employee Promotion Details,Detalles de la Promoción del Empleado,
Employee Promotion,Promoción del Empleado,
Employee Property History,Historial de Propiedad del Empleado,
Employee Referral,Recomendación de empleados,
Employee Separation Template,Plantilla de Separación de Empleados,
Employee Separation,Separación de Empleados,
Employee Settings,Configuración de Empleado,
Employee Skill Map,Mapa de habilidades del empleado,
Employee Skill,Habilidad del empleado,
Employee Skills,Habilidades de los empleados,
Employee Tax Exemption Category,Categoría de Exención Fiscal del Empleado,
Employee Tax Exemption Declaration Category,Categoría de Declaración de Exención Fiscal del Empleado,
Employee Tax Exemption Declaration,Declaración de Exención Fiscal del Empleado,
Employee Tax Exemption Proof Submission Detail,Detalle de envío de prueba de exención fiscal del empleado,
Employee Tax Exemption Proof Submission,Presentación de Prueba de Exención Fiscal del Empleado,
Employee Tax Exemption Sub Category,Subcategoría de exención fiscal para empleados,
Employee Training,Formación de los empleados,
Employee Transfer Detail,Detalle de Transferencia del Empleado,
Employee Transfer Details,Detalles de Transferencia del Empleado,
Employee Transfer,Transferencia del Empleado,
Employee relieved on {0} must be set as 'Left',"Empleado relevado en {0} debe definirse como ""izquierda""",
Employee {0} already submited an apllication {1} for the payroll period {2},El Empleado {0} ya envió una Aplicación {1} para el período de nómina {2},
Employee {0} has no maximum benefit amount,El Empleado {0} no tiene una cantidad de beneficio máximo,
Employee {0} is not active or does not exist,El empleado {0} no está activo o no existe,
Employee {0} is on Leave on {1},El Empleado {0} está en de Licencia el {1},
Employee {0} on Half day on {1},Empleado {0} del medio día del {1},
Employees Email Id,ID de Email de empleados,
Employees HTML,Empleados HTML,
Employees Working on a Holiday,Empleados Trabajando en un Día Feriado,
Employees working on a holiday,Empleados que trabajan en un día festivo,
Employees,Empleados,
Employment Type (optional),Tipo de empleo (opcional),
Enable Auto Attendance,Habilitar asistencia automática,
Enable Entry Grace Period,Habilitar período de gracia de entrada,
Enable Exit Grace Period,Habilitar el período de gracia de salida,
Encashable days,Días de Cobro,
Encashment Amount,Monto del Cobro,
Encashment Threshold Days,Días de Umbral de Cobro,
Encashment,Cobro,
Encrypt Salary Slips in Emails,Cifrar recibos de sueldo en correos electrónicos,
End time cannot be before start time,La hora de finalización no puede ser anterior a la hora de inicio,
Engine Oil,Aceite de Motor,
Error in some rows,Error en algunas filas,
Estimated Cost Per Position,Costo Estimado por Posición,
Evaluation Date,Fecha de evaluación,
Evaluation,Evaluación,
Event Details,Detalles del Evento,
Event Link,Enlace de evento,
Event Location,Lugar del evento,
Event Name,Nombre del evento,
Event Status,Estado de Eventos,
Every Valid Check-in and Check-out,Cada entrada y salida válidas,
Exam,Examen,
Exempted from Income Tax,Exento del impuesto sobre la renta,
Exemption Category,Categoría de Exención,
Exemption Sub Category,Subcategoría de Exención,
Exit Interview Summary,Resumen de la entrevista de salida,
Exit Questionnaire Notification Template,Plantilla de Notificación del Cuestionario de Salida,
Exit Questionnaire Web Form,Formulario Web de Cuestionario de Salida,
Expense Approver Mandatory In Expense Claim,Aprobador de Gastos obligatorio en la Reclamación de Gastos,
Expense Claim Account,Cuenta de Gastos,
Expense Claim Advance,Anticipo de Adelanto de Gastos,
Expense Claim Detail,Detalle de reembolso de gastos,
Expense Claim Type,Tipo de gasto,
Expense Claim for Vehicle Log {0},Reclamación de gastos para el registro de vehículos {0},
Expense Claim {0} already exists for the Vehicle Log,Relación de Gastos {0} ya existe para el registro de vehículos,
Expense Claims (This Month),Reclamaciones de Gastos (Este Mes),
Expense Claims Dashboard,Tablero Reembolso de Gastos,
Expense Date,Fecha de gasto,
Expense Proof,Prueba de Gastos,
Expense Taxes and Charges,Gastos Impuestos y Cargos,
Expense Type,Tipo de Gasto,
Expire Allocation,Caducar la asignación,
Expire Carry Forwarded Leaves (Days),Caducar Llevar permisos reenviadas (días),
Expired Leaves,Permisos caducadas,
Explanation,Explicación,
Feb,feb,
Feedback Submitted,Retroalimentación enviada,
Fill the form and save it,Llene el formulario y guárdelo,
Filter Employees By (Optional),Filtrar por empleados (Opcional),
First Check-in and Last Check-out,Primer check-in y último check-out,
Fiscal Year {0} not found,Año fiscal {0} no encontrado,
Flexible Benefits,Beneficios Flexibles,
Flight,Vuelo,
Follow via Email,Seguir a través de correo electronico,
Food,Comida,
For Employee Name,Por nombre de empleado,
For Employee,Por empleados,
Formula,Fórmula,
Fortnightly,Quincenal,
Fraction of Daily Salary for Half Day,Fracción del salario diario por medio día,
Fri,Vie,
From Amount,Desde Monto,
From Date {0} cannot be after employee's relieving Date {1},Desde la fecha {0} no puede ser posterior a la fecha de liberación del empleado {1},
From Date {0} cannot be before employee's joining Date {1},Desde la fecha {0} no puede ser anterior a la fecha de incorporación del empleado {1},
From date can not be less than employee's joining date,Desde la fecha no puede ser menor a la fecha de incorporación del empleado,
From date can not be less than employee's joining date.,La fecha de inicio no puede ser menor que la fecha de incorporación del empleado.,
Fuel Expense,Gasto de combustible,
Fuel Price,Precio del combustible,
Fuel Qty,Cantidad de combustible,
Full-time,Jornada completa,
Fully Sponsored,Totalmente Patrocinado,
Funded Amount,Cantidad Financiada,
Future dates not allowed,No se permiten fechas futuras,
Get Details From Declaration,Obtener detalles de la declaración,
Get Employees,Obtener Empleados,
Get Template,Obtener Plantilla,
Gluten Free,Sin Gluten,
Goals,Objetivos,
Grace Period Settings For Auto Attendance,Configuración del período de gracia para asistencia automática,
Gross Pay,Pago Bruto,
Guest,Invitado,
HR Administrator,Administrador de Nomina,
HR Settings,Configuración de recursos humanos (RRHH),
HR-ADS-.YY.-.MM.-,HR-ADS-.YY .-. MM.-,
HR-APR-.YY.-.MM.,HR-APR-.YY.-.MM.,
HR-ATT-.YYYY.-,HR-ATT-.YYYY.-,
HR-EAD-.YYYY.-,HR-EAD-.YYYY.-,
HR-EXP-.YYYY.-,HR-EXP-.YYYY.-,
HR-LAL-.YYYY.-,HR-LAL-.YYYY.-,
HR-LAP-.YYYY.-,HR-LAP-.YYYY.-,
HR-VLOG-.YYYY.-,HR-VLOG-.YYYY.-,
HRA Exemption,Exención de HRA,
HRA as per Salary Structure,HRA según estructura salarial,
Half Day Date is mandatory,La fecha de medio día es obligatoria,
Half Day Date should be between From Date and To Date,Fecha de medio día debe estar entre la fecha desde y fecha hasta,
Half Day Date should be in between Work From Date and Work End Date,La fecha de medio día debe estar entre la fecha de trabajo y la fecha de finalización del trabajo,
Half Day Date,Fecha de Medio Día,
Half Day,Medio Día,
Half Day,Medio Día,
Half day date should be in between from date and to date,La fecha del medio día debe estar entre la fecha y la fecha,
Has Certificate,Tiene Certificado,
Health Insurance Name,Nombre del Seguro de Salud,
Hello,Hola,
Hiring Settings,Configuraciones de contratación,
Hiring vs Attrition Count,Contratación vs Conteo de Rotación de Empleados,
Holiday List for Optional Leave,Lista de permisos para la licencia opcional,
House Rent Payment Amount,Monto del pago del alquiler de la casa,
House rent paid days overlapping with {0},Alquiler de casa pagado días superpuestos con {0},
House rented dates required for exemption calculation,Fechas de alquiler de la casa requeridas para el cálculo de la exención,
House rented dates should be atleast 15 days apart,Las fechas de alquiler de la casa deben ser al menos con 15 días de diferencia,
IFSC Code,Código IFSC,
IFSC,IFSC,
IN,EN,
Identification Document Number,Numero de Documento de Identificacion,
Identification Document Type,Tipo de Documento de Identificación,
Import Attendance,Asistente de importación,
Importing {0} of {1},Importando {0} de {1},
In Time,A tiempo,
Incentive Amount,Monto de Incentivo,
Include holidays in Total no. of Working Days,Incluir dias feriados con el numero total de días laborables,
Include holidays within leaves as leaves,Incluir los dias festivos y permisos únicamente como ausencias,
Income Tax Amount,Importe del impuesto sobre la renta,
Income Tax Component,Componente de impuesto sobre la renta,
Income Tax Computation,Cálculo del Impuesto sobre la Renta,
Income Tax Deductions,Deducciones del impuesto sobre la renta,
Income Tax Slab Other Charges,Impuesto sobre la renta Otros cargos de tabla,
Income Tax Slab must be effective on or before Payroll Period Start Date: {0},La tabla de impuesto sobre la renta debe entrar en vigencia a partir de la fecha de inicio del período de nómina: {0},
Income Tax Slab not set in Salary Structure Assignment: {0},La tabla de impuesto sobre la renta no se estableció en la asignación de estructura salarial: {0},
Income Tax Slab,Tabla de impuesto sobre la renta,
Income Tax Slab: {0} is disabled,La tabla de impuestos sobre la renta: {0} está inhabilitado,
Inspection,Inspección,
Interest Amount,Cantidad de interés,
Intermediate,Intermedio,
Intern,Interno,
International,Internacional,
Internet,Internet,
Invited,Invitado,
Invoice Ref,Referencia de Factura,
Is Carry Forward,Es un traslado,
Is Compensatory,Es Compensatorio,
Is Earned Leave,Es Licencia Ganada,
Is Expired,Está expirado,
Is Flexible Benefit,Es un Beneficio Flexible,
Is Income Tax Component,Es el componente del impuesto sobre la renta,
Is Leave Without Pay,Es una permiso sin goce de salario,
Is Optional Leave,Es una Licencia Opcional,
Is Partially Paid Leave,Permiso parcialmente remunerada,
Is Recurring,Es recurrente,
Is Tax Applicable,Es Impuesto Aplicable,
Jan,ene,
Job Applicant Source,Fuente del Solicitante de Empleo,
Job Description,Descripción del trabajo,
Job Offer Term,Término de Oferta de Trabajo,
Job Offer Terms,Términos de Oferta de Trabajo,
Job Offer status,Estado de la oferta de trabajo,
Job Offer,Oferta de trabajo,
Job Offer: {0} is already for Job Applicant: {1},Oferta de trabajo: {0} ya es para el solicitante de empleo: {1},
Job Opening,Oportunidad de empleo,
Jobs,Trabajos,
Joining Date,Dia de ingreso,
July,julio,
June,junio,
KRA,KRA,
Key Performance Area,Área Clave de Rendimiento,
Key Responsibility Area,Área de Responsabilidad Clave,
Last Known Successful Sync of Employee Checkin. Reset this only if you are sure that all Logs are synced from all the locations. Please don't modify this if you are unsure.,Última sincronización exitosa conocida del registro de empleados. Restablezca esto solo si está seguro de que todos los registros están sincronizados desde todas las ubicaciones. No modifique esto si no está seguro.,
Last Sync of Checkin,Última sincronización de registro,
Late Entry Grace Period,Período de gracia de entrada tardía,
Late Entry,Entrada tardía,
Leave Allocation,Asignación de permiso,
Leave Allocations,Dejar asignaciones,
Leave Application,Solicitud de Licencia,
Leave Approval Notification Template,Plantilla de Notificación de Autorización de Permisos,
Leave Approval Notification,Notificación de Autorización de Permiso,
Leave Approver Mandatory In Leave Application,Aprobador de Autorización de Permisos es obligatorio en la Solicitud de Licencia,
Leave Approver Name,Nombre del supervisor de permisos,
Leave Balance Before Application,Ausencias disponibles antes de la solicitud,
Leave Balance,Balance de Licencia,
Leave Block List Allow,Permitir Lista de Bloqueo de Permisos,
Leave Block List Allowed,Lista de bloqueos de permisos permitidos,
Leave Block List Date,Fecha de Lista de Bloqueo de Permisos,
Leave Block List Dates,Fechas de Lista de Bloqueo de Permisos,
Leave Block List Name,Nombre de la Lista de Bloqueo de Permisos,
Leave Blocked,Permiso Bloqueadas,
Leave Control Panel,Panel de control de permisos,
Leave Encashment Amount Per Day,Deje la cantidad de dinero en efectivo por día,
Leave Encashment,Dejar el Encargo,
Leave Ledger Entry,Dejar entrada de libro mayor,
Leave Period,Período de Permiso,
Leave Policy Assignment,Asignación de política de permiso,
Leave Policy Detail,Detalle de la política de permiso,
Leave Policy Details,Detalles de la política de permiso,
Leave Policy,Política de Permiso,
Leave Status Notification Template,Plantilla de Estado de Notificación de Permisos,
Leave Status Notification,Estado de Notificación de Permiso,
Leave Type Name,Nombre del tipo de permiso,
Leave Type is madatory,Tipo de Licencia es obligatorio,
Leave Type {0} cannot be allocated since it is leave without pay,No se puede asignar el tipo de permisos {0} ya que se trata de permiso sin sueldo.,
Leave Type {0} cannot be carry-forwarded,No se puede arrastrar el tipo de permiso {0}.,
Leave Type {0} is not encashable,Tipo de Licencia {0} no es encasillable,
Leave Type,Tipo de Permiso,
Leave Without Pay does not match with approved {} records,La licencia sin paga no coincide con los registros de {} aprobados,
Leave Without Pay,Permiso / licencia sin goce de salario (LSS),
Leave and Expense Claim Settings,Configuración de Permisos y Reclamaciones de Gastos,
Leave application is linked with leave allocations {0}. Leave application cannot be set as leave without pay,La solicitud de licencia está vinculada con las asignaciones de licencia {0}. La solicitud de licencia no se puede configurar como licencia sin paga,
Leave of type {0} cannot be longer than {1},Ausencia del tipo {0} no puede tener más de {1},
Leave,Permiso,
Leave,Permiso,
Leaves Allocated Successfully for {0},Permisos Distribuidas Satisfactoriamente para {0},
Leaves Allocated,Hojas asignadas,
Leaves per Year,Permisos por año,
Leaves,Permisos
Leaves,Permisos,
Lifecycle,Ciclo de Vida,
Loan Repayment Entry,Entrada de reembolso de préstamo,
Location / Device ID,Ubicación / ID del dispositivo,
Lodging Required,Alojamiento Requerido,
Log Type is required for check-ins falling in the shift: {0}.,El tipo de registro es necesario para los registros que se realizan en el turno: {0}.,
Log Type,Tipo de registro,
